3672854      168    168  3.36000000E+002
3694847      169    169  3.38000000E+002
3716840      170    170  3.40000000E+002
3738833      171    171  3.42000000E+002
3760826      172    172  3.44000000E+002
3782819      173    173  3.46000000E+002
3804812      174    174  3.48000000E+002
3826805      175    175  3.50000000E+002
3848798      176    176  3.52000000E+002
3870791      177    177  3.54000000E+002
3892784      178    178  3.56000000E+002
3914777      179    179  3.58000000E+002
3936770      180    180  3.60000000E+002
3958763      181    181  3.62000000E+002
3980756      182    182  3.64000000E+002
4002749      183    183  3.66000000E+002
4024742      184    184  3.68000000E+002
4046735      185    185  3.70000000E+002
4068728      186    186  3.72000000E+002
4090721      187    187  3.74000000E+002
4112714      188    188  3.76000000E+002
4134707      189    189  3.78000000E+002
4156700      190    190  3.80000000E+002
4178693      191    191  3.82000000E+002
4200686      192    192  3.84000000E+002
4222679      193    193  3.86000000E+002
4244672      194    194  3.88000000E+002
4266665      195    195  3.90000000E+002
4288658      196    196  3.92000000E+002
4310651      197    197  3.94000000E+002
4332644      198    198  3.96000000E+002
4354637      199    199  3.98000000E+002
4376630      200    200  4.00000000E+002
4398623      201    201  4.02000000E+002
4420616      202    202  4.04000000E+002
4442609      203    203  4.06000000E+002
4464602      204    204  4.08000000E+002
4486595      205    205  4.10000000E+002
4508588      206    206  4.12000000E+002
4530581      207    207  4.14000000E+002
4552574      208    208  4.16000000E+002
4574567      209    209  4.18000000E+002
4596560      210    210  4.20000000E+002
4618553      211    211  4.22000000E+002
4640546      212    212  4.24000000E+002
4662539      213    213  4.26000000E+002
4684532      214    214  4.28000000E+002
4706525      215    215  4.30000000E+002
4728518      216    216  4.32000000E+002
4750511      217    217  4.34000000E+002
4772504      218    218  4.36000000E+002
4794497      219    219  4.38000000E+002
4816490      220    220  4.40000000E+002
4838483      221    221  4.42000000E+002
4860476      222    222  4.44000000E+002
4882469      223    223  4.46000000E+002
4904462      224    224  4.48000000E+002
4926455      225    225  4.50000000E+002
4948448      226    226  4.52000000E+002
4970441      227    227  4.54000000E+002
4992434      228    228  4.56000000E+002
5014427      229    229  4.58000000E+002
5036420      230    230  4.60000000E+002
5058413      231    231  4.62000000E+002
5080406      232    232  4.64000000E+002
5102399      233    233  4.66000000E+002
5124392      234    234  4.68000000E+002
5146385      235    235  4.70000000E+002
5168378      236    236  4.72000000E+002
5190371      237    237  4.74000000E+002
5212364      238    238  4.76000000E+002
5234357      239    239  4.78000000E+002
5256350      240    240  4.80000000E+002
5278343      241    241  4.82000000E+002
5300336      242    242  4.84000000E+002
5322329      243    243  4.86000000E+002
5344322      244    244  4.88000000E+002
5366315      245    245  4.90000000E+002
5388308      246    246  4.92000000E+002
5410301      247    247  4.94000000E+002
5432294      248    248  4.96000000E+002
5454287      249    249  4.98000000E+002
5476280      250    250  5.00000000E+002
